FJ151394	FJ151394_USA_NY_1999-08-01_NY99
HQ671697	HQ671697_USA_CT_2001-08-01_NY99
HQ671713	HQ671713_USA_CT_2001-08-01_NY99
HQ671714	HQ671714_USA_CT_2001-08-01_NY99
HQ671715	HQ671715_USA_CT_2001-08-01_NY99
HQ671716	HQ671716_USA_CT_2001-08-01_NY99
HQ671717	HQ671717_USA_CT_2001-08-01_NY99
HQ671718	HQ671718_USA_CT_2001-08-01_NY99
HQ671719	HQ671719_USA_CT_2001-08-01_NY99
KJ786934	KJ786934_USA_NY_2001-08-01_NY99
MH166886	MH166886_USA_VA_2001-08-01_NY99
MH170263	MH170263_USA_GA_2001-08-01_NY99
MH170273	MH170273_USA_GA_2001-08-01_NY99
MH170276	MH170276_USA_GA_2001-08-01_NY99
JF920307	JF920307_USA_CT_2001-08-01_WN02
KX547272	KX547272_USA_NY_2001-08-07_NY99
KX547538	KX547538_USA_NY_2001-08-15_NY99
KX547210	KX547210_USA_NY_2001-08-17_NY99
KJ501277	KJ501277_USA_PA_2001-08-22_NY99
KJ501377	KJ501377_USA_OH_2001-08-23_WN02
KJ501465	KJ501465_USA_MI_2001-08-24_NY99
KJ501507	KJ501507_USA_SD_2001-08-30_WN02
KJ501343	KJ501343_USA_DC_2001-09-04_NY99
HM488135	HM488135_USA_CT_2001-09-06_NY99
HM488134	HM488134_USA_CT_2001-09-06_NY99
HM488136	HM488136_USA_CT_2001-09-07_NY99
KJ501336	KJ501336_USA_AL_2001-09-07_WN02
KX547478	KX547478_USA_NY_2001-09-08_NY99
KJ501480	KJ501480_USA_MD_2001-09-13_NY99
KJ501264	KJ501264_USA_GA_2001-09-13_NY99
KX547316	KX547316_USA_NY_2001-09-13_NY99
KJ501332	KJ501332_USA_VA_2001-09-13_NY99
KJ501394	KJ501394_USA_VA_2001-09-13_NY99
KJ501455	KJ501455_USA_AL_2001-09-14_NY99
KJ501363	KJ501363_USA_OH_2001-09-14_NY99
KJ501275	KJ501275_USA_OH_2001-09-14_NY99
KJ501393	KJ501393_USA_VA_2001-09-14_NY99
AF533540	AF533540_USA_NY_2001-09-15_WN02
KJ501486	KJ501486_USA_NJ_2001-09-17_NY99
KJ501288	KJ501288_USA_DC_2001-09-18_NY99
KJ501494	KJ501494_USA_DC_2001-09-18_NY99
KJ501233	KJ501233_USA_AR_2001-09-19_NY99
KJ501244	KJ501244_USA_MO_2001-09-19_WN02
KJ501243	KJ501243_USA_MO_2001-09-19_WN02
KJ501378	KJ501378_USA_PA_2001-09-20_NY99
KJ501516	KJ501516_USA_OH_2001-09-20_NY99
KJ501274	KJ501274_USA_OH_2001-09-20_WN02
KJ501246	KJ501246_USA_MO_2001-09-25_WN02
KJ501247	KJ501247_USA_MO_2001-09-25_WN02
KJ501245	KJ501245_USA_MO_2001-09-25_WN02
KJ501235	KJ501235_USA_AR_2001-09-26_NY99
KJ501234	KJ501234_USA_AR_2001-09-26_NY99
KJ501379	KJ501379_USA_WI_2001-09-27_NY99
KJ501468	KJ501468_USA_MS_2001-09-27_NY99
KJ501473	KJ501473_USA_IL_2001-09-27_NY99
KJ501282	KJ501282_USA_WI_2001-09-27_NY99
KJ501248	KJ501248_USA_MO_2001-09-27_WN02
KJ501362	KJ501362_USA_OH_2001-10-01_NY99
KJ501493	KJ501493_USA_DC_2001-10-02_NY99
KJ501289	KJ501289_USA_DC_2001-10-02_NY99
KJ501512	KJ501512_USA_GA_2001-10-02_NY99
KJ501445	KJ501445_USA_NJ_2001-10-02_NY99
KJ501401	KJ501401_USA_IL_2001-10-02_WN02
KJ501249	KJ501249_USA_MO_2001-10-03_WN02
KJ501395	KJ501395_USA_VA_2001-10-04_NY99
KX547203	KX547203_USA_NY_2001-10-04_NY99
KJ501317	KJ501317_USA_MD_2001-10-04_NY99
KJ501453	KJ501453_USA_WI_2001-10-05_WN02
KJ501361	KJ501361_USA_OH_2001-10-05_WN02
KJ501454	KJ501454_USA_WI_2001-10-05_WN02
KJ501283	KJ501283_USA_WI_2001-10-05_WN02
KJ501496	KJ501496_USA_IL_2001-10-10_WN02
KJ501439	KJ501439_USA_MO_2001-10-12_WN02
KJ501497	KJ501497_USA_IL_2001-10-17_WN02
KJ501443	KJ501443_USA_IL_2001-10-19_NY99
KJ501292	KJ501292_USA_IL_2001-10-19_WN02
KJ501278	KJ501278_USA_PA_2001-10-24_NY99
KJ501269	KJ501269_USA_NJ_2001-10-25_NY99
KJ501515	KJ501515_USA_NJ_2001-10-31_NY99
KJ501268	KJ501268_USA_NJ_2001-10-31_NY99
KJ501374	KJ501374_USA_NJ_2001-11-06_NY99
KJ501509	KJ501509_USA_WI_2001-11-09_WN02
KJ501452	KJ501452_USA_WI_2001-11-09_WN02
KJ501355	KJ501355_USA_TX_2002-07-03_WN02
KJ501284	KJ501284_USA_WI_2002-07-11_WN02
KJ501482	KJ501482_USA_NE_2002-07-17_WN02
KJ501505	KJ501505_USA_OK_2002-07-17_WN02
KX547251	KX547251_USA_NY_2002-07-19_NY99
KJ501426	KJ501426_USA_TX_2002-07-19_WN02
KX547566	KX547566_USA_NY_2002-07-24_WN02
KJ501503	KJ501503_USA_NC_2002-07-25_WN02
KJ501344	KJ501344_USA_DC_2002-07-30_NY99
KJ501489	KJ501489_USA_VA_2002-07-30_NY99
KJ501483	KJ501483_USA_NE_2002-07-30_WN02
KJ501304	KJ501304_USA_MD_2002-07-31_WN02
KJ501370	KJ501370_USA_AR_2002-07-31_WN02
KJ501399	KJ501399_USA_DC_2002-07-31_WN02
DQ080071	DQ080071_USA_FL_2002-08-01_NY99
DQ164187	DQ164187_USA_NY_2002-08-01_NY99
DQ080062	DQ080062_USA_LA_2002-08-01_NY99
HM756664	HM756664_USA_NY_2002-08-01_NY99
MH166887	MH166887_USA_VA_2002-08-01_NY99
MH166899	MH166899_USA_VA_2002-08-01_NY99
HM488180	HM488180_USA_IL_2002-08-01_SW03
AY795965	AY795965_USA_MI_2002-08-01_WN02
GU827998	GU827998_USA_TX_2002-08-01_WN02
DQ164205	DQ164205_USA_TX_2002-08-01_WN02
DQ164202	DQ164202_USA_OH_2002-08-01_WN02
DQ164200	DQ164200_USA_IN_2002-08-01_WN02
DQ164198	DQ164198_USA_TX_2002-08-01_WN02
DQ164197	DQ164197_USA_GA_2002-08-01_WN02
DQ164196	DQ164196_USA_GA_2002-08-01_WN02
DQ164195	DQ164195_USA_NY_2002-08-01_WN02
DQ164193	DQ164193_USA_NY_2002-08-01_WN02
DQ164186	DQ164186_USA_NY_2002-08-01_WN02
DQ176637	DQ176637_USA_TX_2002-08-01_WN02
AY646354	AY646354_USA_NY_2002-08-01_WN02
HM488177	HM488177_USA_IL_2002-08-01_WN02
HM488178	HM488178_USA_IL_2002-08-01_WN02
HM488179	HM488179_USA_IL_2002-08-01_WN02
HM488181	HM488181_USA_IL_2002-08-01_WN02
HM488182	HM488182_USA_IL_2002-08-01_WN02
HM488183	HM488183_USA_IL_2002-08-01_WN02
HM488184	HM488184_USA_IL_2002-08-01_WN02
HM756665	HM756665_USA_NY_2002-08-01_WN02
HQ671698	HQ671698_USA_CT_2002-08-01_WN02
HQ671699	HQ671699_USA_CT_2002-08-01_WN02
HQ671720	HQ671720_USA_CT_2002-08-01_WN02
HQ671722	HQ671722_USA_NY_2002-08-01_WN02
HQ671742	HQ671742_USA_IL_2002-08-01_WN02
HQ705669	HQ705669_USA_IL_2002-08-01_WN02
JF730043	JF730043_USA_CT_2002-08-01_WN02
JN183887	JN183887_USA_NY_2002-08-01_WN02
JN183891	JN183891_USA_IL_2002-08-01_WN02
MH166883	MH166883_USA_VA_2002-08-01_WN02
MH166905	MH166905_USA_VA_2002-08-01_WN02
MH166911	MH166911_USA_VA_2002-08-01_WN02
MH166915	MH166915_USA_VA_2002-08-01_WN02
MH170264	MH170264_USA_GA_2002-08-01_WN02
MH170274	MH170274_USA_GA_2002-08-01_WN02
MH170275	MH170275_USA_GA_2002-08-01_WN02
KJ501307	KJ501307_USA_MN_2002-08-01_WN02
KJ501263	KJ501263_USA_AR_2002-08-02_WN02
KJ501371	KJ501371_USA_AR_2002-08-02_WN02
KJ501510	KJ501510_USA_AR_2002-08-02_WN02
KJ501511	KJ501511_USA_AR_2002-08-02_WN02
KX547393	KX547393_USA_NY_2002-08-06_NY99
KX547444	KX547444_USA_NY_2002-08-06_WN02
KJ501298	KJ501298_USA_NC_2002-08-06_WN02
KJ501328	KJ501328_USA_NC_2002-08-06_WN02
KJ501368	KJ501368_USA_TN_2002-08-06_WN02
KJ501490	KJ501490_USA_VA_2002-08-06_WN02
KX547179	KX547179_USA_NY_2002-08-08_NY99
KJ501290	KJ501290_USA_DC_2002-08-08_NY99
KJ501318	KJ501318_USA_MD_2002-08-08_NY99
KJ501375	KJ501375_USA_NJ_2002-08-08_NY99
KJ501281	KJ501281_USA_TN_2002-08-08_WN02
KJ501291	KJ501291_USA_DC_2002-08-08_WN02
KJ501369	KJ501369_USA_TN_2002-08-08_WN02
KX547266	KX547266_USA_NY_2002-08-09_NY99
KX547189	KX547189_USA_NY_2002-08-09_WN02
KJ501463	KJ501463_USA_KS_2002-08-09_WN02
KX547509	KX547509_USA_NY_2002-08-13_NY99
KJ501299	KJ501299_USA_DC_2002-08-13_NY99
KJ501295	KJ501295_USA_MO_2002-08-13_SW03
KJ501309	KJ501309_USA_MS_2002-08-13_WN02
KJ501310	KJ501310_USA_MS_2002-08-13_WN02
KJ501311	KJ501311_USA_MS_2002-08-13_WN02
KJ501333	KJ501333_USA_VA_2002-08-13_WN02
KJ501383	KJ501383_USA_MS_2002-08-13_WN02
KJ501384	KJ501384_USA_MS_2002-08-13_WN02
KJ501491	KJ501491_USA_VA_2002-08-13_WN02
KJ501495	KJ501495_USA_DC_2002-08-13_WN02
KJ501519	KJ501519_USA_VA_2002-08-13_WN02
KX547503	KX547503_USA_NY_2002-08-14_WN02
KX547247	KX547247_USA_NY_2002-08-14_WN02
KX547207	KX547207_USA_NY_2002-08-14_WN02
KJ501400	KJ501400_USA_DC_2002-08-14_WN02
KX547619	KX547619_USA_NY_2002-08-15_WN02
KX547429	KX547429_USA_NY_2002-08-15_WN02
KX547421	KX547421_USA_NY_2002-08-15_WN02
AY289214	AY289214_USA_TX_2002-08-15_WN02
KJ501517	KJ501517_USA_OH_2002-08-15_WN02
KJ501501	KJ501501_USA_MO_2002-08-16_WN02
KX547564	KX547564_USA_NY_2002-08-19_NY99
HM488208	HM488208_USA_CT_2002-08-19_WN02
HM488137	HM488137_USA_CT_2002-08-20_WN02
KJ501300	KJ501300_USA_KS_2002-08-20_WN02
KJ501373	KJ501373_USA_GA_2002-08-20_WN02
KJ501279	KJ501279_USA_PA_2002-08-21_NY99
KX547506	KX547506_USA_NY_2002-08-21_WN02
KX547238	KX547238_USA_NY_2002-08-21_WN02
KJ501265	KJ501265_USA_GA_2002-08-22_WN02
KJ501301	KJ501301_USA_KS_2002-08-22_WN02
KJ501319	KJ501319_USA_MD_2002-08-22_WN02
KJ501276	KJ501276_USA_OH_2002-08-23_NY99
KJ501397	KJ501397_USA_AL_2002-08-23_WN02
KX547398	KX547398_USA_NY_2002-08-23_WN02
KX547374	KX547374_USA_NY_2002-08-23_WN02
KJ501303	KJ501303_USA_KY_2002-08-23_WN02
KJ501315	KJ501315_USA_KS_2002-08-23_WN02
KJ501475	KJ501475_USA_KS_2002-08-23_WN02
KX547305	KX547305_USA_NY_2002-08-25_WN02
KX547299	KX547299_USA_NY_2002-08-25_WN02
KJ501364	KJ501364_USA_PA_2002-08-26_WN02
KJ501449	KJ501449_USA_PA_2002-08-26_WN02
KJ501266	KJ501266_USA_GA_2002-08-27_NY99
KJ501302	KJ501302_USA_KY_2002-08-27_WN02
KJ501450	KJ501450_USA_PA_2002-08-27_WN02
KX547620	KX547620_USA_NY_2002-08-29_WN02
KX547448	KX547448_USA_NY_2002-08-29_WN02
KJ501287	KJ501287_USA_AL_2002-08-30_WN02
KJ501387	KJ501387_USA_NE_2002-08-30_WN02
KJ501388	KJ501388_USA_NE_2002-08-30_WN02
KJ501458	KJ501458_USA_MO_2002-08-30_WN02
KJ501476	KJ501476_USA_KS_2002-08-30_WN02
KJ501484	KJ501484_USA_NE_2002-08-30_WN02
KJ501257	KJ501257_USA_ND_2002-09-01_WN02
KX547525	KX547525_USA_NY_2002-09-02_WN02
KX547261	KX547261_USA_NY_2002-09-04_NY99
KJ501479	KJ501479_USA_KY_2002-09-04_WN02
KJ501285	KJ501285_USA_WI_2002-09-04_WN02
KJ501321	KJ501321_USA_MI_2002-09-04_WN02
KJ501481	KJ501481_USA_MI_2002-09-04_WN02
KJ501502	KJ501502_USA_MT_2002-09-04_WN02
KJ501380	KJ501380_USA_WI_2002-09-05_WN02
KX547584	KX547584_USA_NY_2002-09-06_NY99
KX547490	KX547490_USA_NY_2002-09-06_NY99
KX547246	KX547246_USA_NY_2002-09-06_WN02
KX547336	KX547336_USA_NY_2002-09-09_WN02
KJ501338	KJ501338_USA_AL_2002-09-09_WN02
KX547414	KX547414_USA_NY_2002-09-10_NY99
KX547301	KX547301_USA_NY_2002-09-10_NY99
KX547228	KX547228_USA_NY_2002-09-10_NY99
KJ501322	KJ501322_USA_MN_2002-09-10_WN02
KX547378	KX547378_USA_NY_2002-09-11_NY99
KX547182	KX547182_USA_NY_2002-09-11_WN02
KJ501427	KJ501427_USA_TX_2002-09-11_WN02
KX547554	KX547554_USA_NY_2002-09-12_NY99
KJ501462	KJ501462_USA_UT_2002-09-12_SW03
KJ501331	KJ501331_USA_OH_2002-09-12_WN02
KX547204	KX547204_USA_NY_2002-09-12_WN02
KJ501345	KJ501345_USA_MO_2002-09-12_WN02
KX547252	KX547252_USA_NY_2002-09-13_NY99
KX547364	KX547364_USA_NY_2002-09-13_WN02
KX547245	KX547245_USA_NY_2002-09-13_WN02
KX547213	KX547213_USA_NY_2002-09-13_WN02
KJ501296	KJ501296_USA_MT_2002-09-13_WN02
KJ501337	KJ501337_USA_AL_2002-09-13_WN02
KJ501339	KJ501339_USA_AL_2002-09-13_WN02
KX547263	KX547263_USA_NY_2002-09-16_WN02
KJ501270	KJ501270_USA_NJ_2002-09-16_WN02
KJ501464	KJ501464_USA_MD_2002-09-16_WN02
KX547320	KX547320_USA_NY_2002-09-17_NY99
KJ501376	KJ501376_USA_OH_2002-09-17_WN02
KX547402	KX547402_USA_NY_2002-09-18_WN02
KX547586	KX547586_USA_NY_2002-09-19_WN02
KX547469	KX547469_USA_NY_2002-09-19_WN02
KJ501466	KJ501466_USA_MI_2002-09-20_WN02
KX547603	KX547603_USA_NY_2002-09-20_WN02
KX547230	KX547230_USA_NY_2002-09-20_WN02
KX547194	KX547194_USA_NY_2002-09-21_NY99
HM756648	HM756648_USA_CT_2002-09-24_WN02
KX547492	KX547492_USA_NY_2002-09-26_NY99
KX547428	KX547428_USA_NY_2002-09-26_NY99
KX547505	KX547505_USA_NY_2002-09-26_WN02
KX547459	KX547459_USA_NY_2002-09-26_WN02
KX547331	KX547331_USA_NY_2002-09-26_WN02
KJ501474	KJ501474_USA_IA_2002-09-27_SW03
KJ501467	KJ501467_USA_MI_2002-09-27_WN02
KJ501306	KJ501306_USA_MI_2002-09-27_WN02
KJ501286	KJ501286_USA_WI_2002-09-27_WN02
KX547314	KX547314_USA_NY_2002-09-27_WN02
KJ501347	KJ501347_USA_NM_2002-09-27_WN02
KX547484	KX547484_USA_NY_2002-10-01_NY99
HM488114	HM488114_USA_CT_2002-10-01_WN02
KJ501514	KJ501514_USA_GA_2002-10-02_WN02
KX547527	KX547527_USA_NY_2002-10-03_WN02
KX547383	KX547383_USA_NY_2002-10-04_WN02
KX547474	KX547474_USA_NY_2002-10-11_WN02
KJ501346	KJ501346_USA_MO_2003-02-10_WN02
HM488171	HM488171_USA_CT_2003-07-08_WN02
KJ501447	KJ501447_USA_NC_2003-07-09_WN02
KX547411	KX547411_USA_NY_2003-07-10_WN02
GQ507472	GQ507472_USA_CA_2003-07-14_WN02
JF703162	JF703162_USA_CA_2003-07-15_WN02
KJ501356	KJ501356_USA_TX_2003-07-16_WN02
KJ501392	KJ501392_USA_SD_2003-07-19_SW03
KJ501488	KJ501488_USA_ND_2003-07-23_WN02
KX547288	KX547288_USA_NY_2003-07-27_WN02
KJ501351	KJ501351_USA_OK_2003-07-28_WN02
KJ501313	KJ501313_USA_DC_2003-07-29_NY99
KX547581	KX547581_USA_NY_2003-07-29_WN02
KX547437	KX547437_USA_NY_2003-07-29_WN02
KJ501381	KJ501381_USA_MN_2003-07-30_SW03
KJ501323	KJ501323_USA_MN_2003-07-31_SW03
KJ501349	KJ501349_USA_ND_2003-07-31_SW03
KJ501508	KJ501508_USA_TX_2003-07-31_WN02
DQ983578	DQ983578_USA_FL_2003-08-01_NY99
DQ164192	DQ164192_USA_NY_2003-08-01_NY99
DQ164188	DQ164188_USA_NY_2003-08-01_NY99
DQ080069	DQ080069_Mexico_Tamaulipas_2003-08-01_SW03
DQ080063	DQ080063_Mexico_BajaCalifornia_2003-08-01_SW03
DQ080064	DQ080064_Mexico_BajaCalifornia_2003-08-01_SW03
DQ080065	DQ080065_Mexico_BajaCalifornia_2003-08-01_SW03
DQ080067	DQ080067_Mexico_BajaCalifornia_2003-08-01_SW03
DQ080068	DQ080068_Mexico_BajaCalifornia_2003-08-01_SW03
DQ080066	DQ080066_Mexico_BajaCalifornia_2003-08-01_SW03
DQ164203	DQ164203_USA_CO_2003-08-01_SW03
DQ080053	DQ080053_USA_AZ_2003-08-01_SW03
DQ080052	DQ080052_USA_AZ_2003-08-01_SW03
DQ080051	DQ080051_USA_AZ_2003-08-01_SW03
HM488185	HM488185_USA_IL_2003-08-01_SW03
MH170226	MH170226_USA_CO_2003-08-01_SW03
MH170237	MH170237_USA_CO_2003-08-01_SW03
DQ080070	DQ080070_Mexico_Sonora_2003-08-01_WN02
KJ501459	KJ501459_USA_OK_2003-08-01_WN02
JF703164	JF703164_USA_CA_2003-08-01_WN02
GU828004	GU828004_USA_TX_2003-08-01_WN02
GU828003	GU828003_USA_TX_2003-08-01_WN02
GU828002	GU828002_USA_TX_2003-08-01_WN02
GU828001	GU828001_USA_TX_2003-08-01_WN02
GU828000	GU828000_USA_TX_2003-08-01_WN02
GU827999	GU827999_USA_TX_2003-08-01_WN02
DQ431699	DQ431699_USA_FL_2003-08-01_WN02
DQ431698	DQ431698_USA_FL_2003-08-01_WN02
DQ431697	DQ431697_USA_FL_2003-08-01_WN02
DQ431696	DQ431696_USA_WI_2003-08-01_WN02
DQ431695	DQ431695_USA_IL_2003-08-01_WN02
DQ431694	DQ431694_USA_TX_2003-08-01_WN02
DQ431693	DQ431693_USA_TX_2003-08-01_WN02
DQ164204	DQ164204_USA_CO_2003-08-01_WN02
DQ164199	DQ164199_USA_TX_2003-08-01_WN02
DQ164191	DQ164191_USA_NY_2003-08-01_WN02
DQ164190	DQ164190_USA_NY_2003-08-01_WN02
DQ164189	DQ164189_USA_NY_2003-08-01_WN02
AY712948	AY712948_USA_TX_2003-08-01_WN02
AY712947	AY712947_USA_TX_2003-08-01_WN02
AY712946	AY712946_USA_TX_2003-08-01_WN02
AY712945	AY712945_USA_TX_2003-08-01_WN02
DQ080059	DQ080059_USA_CA_2003-08-01_WN02
DQ080058	DQ080058_USA_CA_2003-08-01_WN02
DQ080057	DQ080057_USA_CA_2003-08-01_WN02
DQ080056	DQ080056_USA_CA_2003-08-01_WN02
DQ080055	DQ080055_USA_CA_2003-08-01_WN02
DQ080054	DQ080054_USA_CA_2003-08-01_WN02
DQ005530	DQ005530_USA_UT_2003-08-01_WN02
HM488186	HM488186_USA_IL_2003-08-01_WN02
HM488187	HM488187_USA_IL_2003-08-01_WN02
HM488211	HM488211_USA_CT_2003-08-01_WN02
HM488250	HM488250_USA_NY_2003-08-01_WN02
HM488251	HM488251_USA_NY_2003-08-01_WN02
HM756666	HM756666_USA_NY_2003-08-01_WN02
HM756667	HM756667_USA_NY_2003-08-01_WN02
HM756668	HM756668_USA_NY_2003-08-01_WN02
HM756669	HM756669_USA_NY_2003-08-01_WN02
HM756670	HM756670_USA_NY_2003-08-01_WN02
HM756676	HM756676_USA_IL_2003-08-01_WN02
HQ671700	HQ671700_USA_CT_2003-08-01_WN02
HQ671701	HQ671701_USA_CT_2003-08-01_WN02
HQ671702	HQ671702_USA_CT_2003-08-01_WN02
HQ671703	HQ671703_USA_CT_2003-08-01_WN02
HQ671704	HQ671704_USA_CT_2003-08-01_WN02
HQ671705	HQ671705_USA_CT_2003-08-01_WN02
HQ671723	HQ671723_USA_NY_2003-08-01_WN02
HQ705659	HQ705659_USA_CT_2003-08-01_WN02
HQ705660	HQ705660_USA_NY_2003-08-01_WN02
JF920306	JF920306_USA_CT_2003-08-01_WN02
JF920728	JF920728_USA_CT_2003-08-01_WN02
JN183890	JN183890_USA_CT_2003-08-01_WN02
JQ700437	JQ700437_USA_NY_2003-08-01_WN02
MH166900	MH166900_USA_VA_2003-08-01_WN02
MH166906	MH166906_USA_VA_2003-08-01_WN02
MH166912	MH166912_USA_VA_2003-08-01_WN02
MH170228	MH170228_USA_CO_2003-08-01_WN02
MH170231	MH170231_USA_CO_2003-08-01_WN02
MH170234	MH170234_USA_CO_2003-08-01_WN02
MH170238	MH170238_USA_CO_2003-08-01_WN02
MH170254	MH170254_USA_CO_2003-08-01_WN02
MH170256	MH170256_USA_CO_2003-08-01_WN02
KX547573	KX547573_USA_NY_2003-08-04_WN02
KJ501357	KJ501357_USA_TX_2003-08-04_WN02
KJ501527	KJ501527_USA_TX_2003-08-04_WN02
KJ501329	KJ501329_USA_ND_2003-08-05_WN02
KJ501470	KJ501470_USA_SD_2003-08-05_WN02
KJ501326	KJ501326_USA_MT_2003-08-06_SW03
KJ501389	KJ501389_USA_SD_2003-08-06_SW03
KJ501391	KJ501391_USA_SD_2003-08-06_SW03
KJ501327	KJ501327_USA_MT_2003-08-06_WN02
KJ501350	KJ501350_USA_ND_2003-08-06_WN02
KJ501390	KJ501390_USA_SD_2003-08-06_WN02
KJ501353	KJ501353_USA_OK_2003-08-08_WN02
KX547405	KX547405_USA_NY_2003-08-09_WN02
KX547468	KX547468_USA_NY_2003-08-11_WN02
HM488172	HM488172_USA_CT_2003-08-11_WN02
KX547176	KX547176_USA_NY_2003-08-12_WN02
HM488174	HM488174_USA_CT_2003-08-12_WN02
HM488173	HM488173_USA_CT_2003-08-12_WN02
HM488140	HM488140_USA_CT_2003-08-12_WN02
KJ501477	KJ501477_USA_KS_2003-08-12_WN02
KJ501504	KJ501504_USA_ND_2003-08-13_WN02
KX547531	KX547531_USA_NY_2003-08-13_WN02
KX547455	KX547455_USA_NY_2003-08-13_WN02
KX547363	KX547363_USA_NY_2003-08-13_WN02
KX547178	KX547178_USA_NY_2003-08-13_WN02
KJ501478	KJ501478_USA_KS_2003-08-14_SW03
KX547439	KX547439_USA_NY_2003-08-14_WN02
KX547218	KX547218_USA_NY_2003-08-14_WN02
HM488209	HM488209_USA_CT_2003-08-14_WN02
KJ501273	KJ501273_USA_NC_2003-08-14_WN02
KJ501352	KJ501352_USA_OK_2003-08-14_WN02
KJ501469	KJ501469_USA_NE_2003-08-15_WN02
KX547188	KX547188_USA_NY_2003-08-15_WN02
KJ501472	KJ501472_USA_GA_2003-08-15_WN02
KJ501297	KJ501297_USA_MT_2003-08-18_SW03
HM488138	HM488138_USA_CT_2003-08-18_WN02
HM488210	HM488210_USA_CT_2003-08-18_WN02
KX547466	KX547466_USA_NY_2003-08-19_NY99
KX547322	KX547322_USA_NY_2003-08-19_NY99
HM488175	HM488175_USA_CT_2003-08-19_NY99
KJ501358	KJ501358_USA_TX_2003-08-19_SW03
HM488212	HM488212_USA_CT_2003-08-19_WN02
KR348925	KR348925_USA_CA_2003-08-19_WN02
KR348924	KR348924_USA_CA_2003-08-19_WN02
KR348923	KR348923_USA_CA_2003-08-19_WN02
KJ501103	KJ501103_USA_CA_2003-08-19_WN02
KJ501104	KJ501104_USA_CA_2003-08-19_WN02
KJ501105	KJ501105_USA_CA_2003-08-19_WN02
KJ501456	KJ501456_USA_MD_2003-08-19_WN02
KR349024	KR349024_USA_CA_2003-08-19_WN02
KX547239	KX547239_USA_NY_2003-08-20_WN02
HM488176	HM488176_USA_CT_2003-08-20_WN02
HM488216	HM488216_USA_CT_2003-08-20_WN02
HM488215	HM488215_USA_CT_2003-08-20_WN02
HM488214	HM488214_USA_CT_2003-08-20_WN02
HM488213	HM488213_USA_CT_2003-08-20_WN02
HM756650	HM756650_USA_CT_2003-08-21_WN02
HM488217	HM488217_USA_CT_2003-08-21_WN02
KX547592	KX547592_USA_NY_2003-08-22_WN02
KJ501498	KJ501498_USA_MD_2003-08-22_WN02
HM756651	HM756651_USA_CT_2003-08-25_WN02
HM488220	HM488220_USA_CT_2003-08-25_WN02
HM488219	HM488219_USA_CT_2003-08-25_WN02
HM488218	HM488218_USA_CT_2003-08-25_WN02
HM756653	HM756653_USA_CT_2003-08-26_NY99
KX547617	KX547617_USA_NY_2003-08-26_WN02
KX547310	KX547310_USA_NY_2003-08-26_WN02
HM756652	HM756652_USA_CT_2003-08-26_WN02
KX547613	KX547613_USA_NY_2003-08-27_WN02
KJ501294	KJ501294_USA_MD_2003-08-28_WN02
KJ501396	KJ501396_USA_VA_2003-08-28_WN02
